Ngram
new_york
high_school
one_day
young_man
young_woman
year_old
falls_love
best_friend
small_town
years_later
fall_love
true_story
one_night
tells_story
young_girl
world_war
along_way
returns_home
first_time
younger_brother
new_life
true_love
years_old
two_men
love_story
th_century
two_young
takes_place
young_boy
ten_years
car_accident
back_home
love_life
one_another
united_states
story_two
war_ii
one_last
single_mother
even_though
turned_upside
three_years
civil_war
two_women
two_brothers
early_s
older_brother
young_women
falling_love
old_man
things_get
soon_becomes
revolves_around
five_years
doesnt_want
big_city
next_door
things_go
will_change
man_named
fbi_agent
return_home
take_care
